ID	21											
Level	Final											
												
	Level 1	Level 2	Level 3	Level 4	level 5							
Damage increase	0	40	80	120	200							
SP Increase	50	50	50	50	50							
												
Start Time	11											
	Damage	SP	Next Hit	Blue Time	Gray Time	Camera Pan Distance	Lock on Camera Distance	Lock on Camera Distance 2	Monster Distance	Vertical Distance	UU1	UU2
Hit 1	50	20	8	2	3	10	0	0	0	20	32	0
Hit 2	30	20	19	13	3	0	11	2	7	15	32	0
Hit 3	30	20	10	5	2	65533	3	2	3	15	32	0
Hit 4	30	20	16	8	3	65533	5	1	3	15	32	19
Hit 5	30	10	10	3	3	65528	0	2	7	13	32	0
Hit 6	30	10	21	12	2	65523	0	11	20	15	32	0
